,Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,filtro,archivo,PERIODO LEGISLATIV0 2021-2022,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,"DECLARACIÓN JURADA SOBRE ASISTENCIA DE LA COMISIÓN INVESTIGADORA MULTIPARTIDARIA ENCARGADA DE EVALUAR, PROPONER, FISCALIZAR E IMPULSAR LA TERCERA ETAPA DEL PROYECTO ESPECIAL CHAVIMOCHIC EN LA REGION LA LIBERTAD ",DECLARACION JURADA SOBRE ASISTENCIA DE LA COMISION ESPECIAL DE SEGUIMIENTO A EMERGENCIAS Y GESTION DE RIESGO DE DESASTRES COVID-19-2021-2026,"AÑO DEL FORTALECIMIENTO DE LA SOBERANÍA NACIONAL
PERIODO LEGISLATIV0 2021-2022                   SEGUNDA LEGISLATURA",Unnamed: 14,Declaración Jurada sobre la asistencia de la Comision Investigadora Multipartidaria que investiga ,"AÑO DEL FORTALECIMIENTO DE LA SOBERANÍA NACIONAL
PERIODO LEGISLATIV0 2021-2022",DECLARACIÓN JURADA SOBRE ASISTENCIA DE LA COMISIÓN AGRARIA PERIODO LEGISLATIV0 2021-2022,DECLARACIÓN JURADA SOBRE ASISTENCIA A LA COMISIÓN INVESTIGADORA MULTIPARTIDARIA ENCARGADA DE INVESTIGAR EL ATENTADO EN VIZCATÁN DEL ENE EL 23 DE MAYO DE 2021,CONGRESO DE LA REPÚBLICA    -   PERIODO LEGISLATIVO 2021 - 22-022,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,          INFORME SESIÓN ELECCIÓN MESA DIRECTIVA E INSTALACIÓN Y (16)SESIONES ORDINARIAS DE LA COMISIÓN AGRARIA 
14,Ética Parlamentaria,"PAREDES FONSECA, Karol Ivett",Presidenta,Acción Popular,4TA SO,22.11.2021,1,,,,Congresistas,Asistencia 4TA ORDINARIA ÉTICA PARLAMENTARIA  22.11.2021.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Ética Parlamentaria,"AGÜERO GUTIÉRREZ, María Antonieta",Vicepresidenta,Perú Libre,4TA SO,22.11.2021,,1,,,Congresistas,Asistencia 4TA ORDINARIA ÉTICA PARLAMENTARIA  22.11.2021.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Ética Parlamentaria,"BAZÁN CALDERÓN, Diego Alonso Fernando",Secretario,Avanza País,4TA SO,22.11.2021,1,,,,Congresistas,Asistencia 4TA ORDINARIA ÉTICA PARLAMENTARIA  22.11.2021.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,Ética Parlamentaria,"CRUZ MAMANI, Flavio",Titular,Perú Libre,4TA SO,22.11.2021,1,,,,Congresistas,Asistencia 4TA ORDINARIA ÉTICA PARLAMENTARIA  22.11.2021.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Ética Parlamentaria,"CERRÓN ROJAS, Waldemar José",Titular,Perú Libre,4TA SO,22.11.2021,1,,,,Congresistas,Asistencia 4TA ORDINARIA ÉTICA PARLAMENTARIA  22.11.2021.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,Ética Parlamentaria,"VARAS MELÉNDEZ, Elías Marcial",Titular,Perú Libre,4TA SO,22.11.2021,1,,,,Congresistas,Asistencia 4TA ORDINARIA ÉTICA PARLAMENTARIA  22.11.2021.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,Ética Parlamentaria,PORTALATINO ÁVALOS Kelly Roxana,Titular,Perú Libre,4TA SO,22.11.2021,,1,,,Congresistas,Asistencia 4TA ORDINARIA ÉTICA PARLAMENTARIA  22.11.2021.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,Ética Parlamentaria,"INFANTES CASTAÑEDA, Mery Eliana",Titular,Fuerza Popular,4TA SO,22.11.2021,1,,,,Congresistas,Asistencia 4TA ORDINARIA ÉTICA PARLAMENTARIA  22.11.2021.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,Ética Parlamentaria,"MORANTE FIGARI, Jorge Alberto",Titular,Fuerza Popular,4TA SO,22.11.2021,1,,,,Congresistas,Asistencia 4TA ORDINARIA ÉTICA PARLAMENTARIA  22.11.2021.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,Ética Parlamentaria,"LIZARZABURU LIZARZABURO, Juan Carlos",Titular,Fuerza Popular,4TA SO,22.11.2021,1,,,,Congresistas,Asistencia 4TA ORDINARIA ÉTICA PARLAMENTARIA  22.11.2021.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,Ética Parlamentaria,"ARAGÓN CARREÑO, Luis Ángel",Titular,Acción Popular,4TA SO,22.11.2021,1,,,,Congresistas,Asistencia 4TA ORDINARIA ÉTICA PARLAMENTARIA  22.11.2021.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
