,Declaracion Jurada sobre la asistencia de la Comision Investigadora Multipartidaria que investiga las presuntas irregularidades en ESSALUD - MINSA - GOBIERNOS REGIONALES y LOCALES ,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,filtro,archivo,Unnamed: 0,DECLARACIÓN JURADA SOBRE ASISTENCIA DE LA COMISIÓN AGRARIA,Unnamed: 8,Unnamed: 9,Unnamed: 10,Declaración Jurada sobre la asistencia de la Comision Iventigadora Multipartidaria,Unnamed: 11,Declaración Jurada sobre la asistencia de la Comision  Multipartidaria,AÑO DEL FORTALECIMIENTO DE LA SOBERANÍA NACIONAL,Declaración Jurada sobre la asistencia de la Comision Investigadora Multipartidaria que investiga ,Unnamed: 12,Unnamed: 13,Declaración Jurada sobre la asistencia de la Comision Investigadora Multipartidaria
10,,,RAÚL FELIPE DOROTEO CARBAJO,,ACCION POPULAR,Quinta  Sesión Ordinaria,2021-06-10 00:00:00,1,Congresistas,5 SO-DJ ASISTENCIA CONGRESISTAS CA-06.10.21.xlsx,AGRARIA,"VICEPRESIDENTE
PRESIDENTE (e)",,,,,,,,,,,
11,,,LESLIE VIVIAN OLÍVOS MARTÍNEZ,,FUERZA POPULAR,"Quinta  Sesión
Ordinaria",2021-06-10 00:00:00,,Congresistas,5 SO-DJ ASISTENCIA CONGRESISTAS CA-06.10.21.xlsx,AGRARIA,PRESIDENTA,1,,,,,,,,,,
12,,,FREDDY RONALD DÍAZ MONAGO,,"ALIANZA PARA EL
PROGRESO",Quinta  Sesión Ordinaria,2021-06-10 00:00:00,1,Congresistas,5 SO-DJ ASISTENCIA CONGRESISTAS CA-06.10.21.xlsx,AGRARIA,SECRETARIO,,,,,,,,,,,
13,,,OSCAR ZEA CHOQUECHAMBI,,PERU LIBRE,"Quinta  Sesión
Ordinaria",2021-06-10 00:00:00,1,Congresistas,5 SO-DJ ASISTENCIA CONGRESISTAS CA-06.10.21.xlsx,AGRARIA,Titular,,,,,,,,,,,
14,,,JORGE SAMUEL COAYLA JUÁREZ,,PERU LIBRE,"Quinta  Sesión
Ordinaria",2021-06-10 00:00:00,1,Congresistas,5 SO-DJ ASISTENCIA CONGRESISTAS CA-06.10.21.xlsx,AGRARIA,Titular,,,,,,,,,,,
15,,,MARGOT PALACIOS HUAMÁN,,PERU LIBRE,"Quinta  Sesión
Ordinaria",2021-06-10 00:00:00,,Congresistas,5 SO-DJ ASISTENCIA CONGRESISTAS CA-06.10.21.xlsx,AGRARIA,Titular,1,,,,,,,,,,
16,,,MARÍA ELIZABETH TAIPE CORONADO,,PERU LIBRE,"Quinta  Sesión
Ordinaria",2021-06-10 00:00:00,1,Congresistas,5 SO-DJ ASISTENCIA CONGRESISTAS CA-06.10.21.xlsx,AGRARIA,Titular,,,,,,,,,,,
17,,,PAUL SILVIO GUTIERREZ TICONA,,PERU LIBRE,"Quinta  Sesión
Ordinaria",2021-06-10 00:00:00,1,Congresistas,5 SO-DJ ASISTENCIA CONGRESISTAS CA-06.10.21.xlsx,AGRARIA,Titular,,,,,,,,,,,
18,,,NILZA MERLY CHACÓN TRUJILLO,,FUERZA POPULAR,"Quinta  Sesión
Ordinaria",2021-06-10 00:00:00,1,Congresistas,5 SO-DJ ASISTENCIA CONGRESISTAS CA-06.10.21.xlsx,AGRARIA,Titular,,,,,,,,,,,
19,,,HÉCTOR JOSÉ VENTURA ÁNGEL,,FUERZA POPULAR,"Quinta  Sesión
Ordinaria",2021-06-10 00:00:00,1,Congresistas,5 SO-DJ ASISTENCIA CONGRESISTAS CA-06.10.21.xlsx,AGRARIA,Titular,,,,,,,,,,,
20,,,EDUARDO CASTILLO RIVAS,,FUERZA POPULAR,"Quinta  Sesión
Ordinaria",2021-06-10 00:00:00,1,Congresistas,5 SO-DJ ASISTENCIA CONGRESISTAS CA-06.10.21.xlsx,AGRARIA,Titular,,,,,,,,,,,
21,,,ILICH FREDY LÓPEZ UREÑA,,ACCIÓN POPULAR,"Quinta  Sesión
Ordinaria",2021-06-10 00:00:00,1,Congresistas,5 SO-DJ ASISTENCIA CONGRESISTAS CA-06.10.21.xlsx,AGRARIA,Titular,,,,,,,,,,,
22,,,IDELSO MANUEL GARCÍA CORREA,,"ALIANZA PARA EL
PROGRESO",Quinta  Sesión Ordinaria,2021-06-10 00:00:00,1,Congresistas,5 SO-DJ ASISTENCIA CONGRESISTAS CA-06.10.21.xlsx,AGRARIA,Titular,,,,,,,,,,,
23,,,MARÍA JESSICA CÓRDOVA LOBATÓN,,AVANZA PAÍS,"Quinta  Sesión
Ordinaria",2021-06-10 00:00:00,1,Congresistas,5 SO-DJ ASISTENCIA CONGRESISTAS CA-06.10.21.xlsx,AGRARIA,Titular,,,,,,,,,,,
