,Orden original,Comisión,Congresistas,Cargo,Bancada,Sesión,Fecha,Asistencia,Licencia,Inas. Just.,Inas. Inj.,
17,149,SCAC,ACUÑA PERALTA MARÍA GRIMANEZA,Titular,Alianza Para el Progreso,,,1,,,,2022-02-21-SES-EXT-003.xlsx
17,243,SCAC,ACUÑA PERALTA MARÍA GRIMANEZA,Titular,Alianza Para el Progreso,,,1,,,,2022-08-08-SES-EXT-019.xlsx
17,435,Economía,ACUÑA PERALTA MARÍA GRIMANEZA,Titular,Alianza Para el Progreso,,,1,-,-,-,10 Asistencia Decima Sesión Extraordinaria Economia (3) (2).xlsx
17,533,Economia,ACUÑA PERALTA MARÍA GRIMANEZA,Titular,Alianza Para el Progreso,,,1,-,-,-,25 Registro de Asistencia de la Vigésimo Quinta Sesión Ordinaria Comisión de Eonomía (2).xlsx
17,1375,Economia,ACUÑA PERALTA MARÍA GRIMANEZA,Titular,Alianza Para el Progreso,,,1,-,-,-,15 Registro de Asistenia de la Décimo Quinta Sesión Ordinaria.xlsx
17,1408,Economia,ACUÑA PERALTA MARÍA GRIMANEZA,Titular,Alianza Para el Progreso,,,1,-,-,-,20 Registro de Asistencia de la la Vigésima Sesión Ordinaria Comisión de Eonomía (2).xlsx
17,1531,SCAC,ACUÑA PERALTA MARÍA GRIMANEZA,Titular,Alianza Para el Progreso,,,1,,,,2022-07-01-SES-ORD-020.xlsx
17,1661,Economia,ACUÑA PERALTA MARÍA GRIMANEZA,Titular,Alianza Para el Progreso,,,1,-,-,-,17 Registro de Asistencia de la Décimo Setima Comisión de Eonomía (5).xlsx
17,2467,SCAC,ACUÑA PERALTA MARÍA GRIMANEZA,Titular,Alianza Para el Progreso,,,1,,,,2022-04-25-SES-EXT-010.xlsx
17,2483,Economía,ACUÑA PERALTA MARÍA GRIMANEZA,Titular,Alianza Para el Progreso,,,1,,-,-,07 7ma . Sesión Extraordinariadesentralizada (3).xlsx
17,2548,Economia,ACUÑA PERALTA MARÍA GRIMANEZA,Titular,Alianza Para el Progreso,,,1,-,-,-,05 Registro de Asistencia Quinta Sesión Ordinaria Economia - (1).xlsx
